,ItemID,Sentiment,SentimentText
1,2,0,                   I missed the New Moon trailer...
7,8,0,       Sunny Again        Work Tomorrow  :-|       TV Tonight
14,15,0,     ok thats it you win.
16,17,0,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
23,24,0,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*
26,27,0,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
35,36,0,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
42,43,0,  *enough said*
51,52,1,  bathroom is clean..... now on to more enjoyable tasks......
54,55,0,  congrats to helio though
56,57,0,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC
68,69,0,"  I missed the first hour of SYTYCD last night, and I can't find it online!"
70,71,0,  I never thought I'd become second choice...
76,77,0,  i want a hug
77,78,0,  I want Miley to tour Australia
79,80,0,  i was too slow to get $1 Up tix
85,86,1,  I'm really going to bed now...
89,90,1,  Jin has a twitter.
105,106,0,  really wanted Safina to pull out a win &amp; to lose like that...
106,107,0,"  RIP, David Eddings."
115,116,0,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
116,117,1,  trae is so sweet! He just bought me a new baithing suit!! Wove him 
120,121,0,  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
129,130,0, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
134,135,0, #squarespace brighten my bad day! i never win anything...
138,139,1, &lt;3 goooood timessss
139,140,0, &lt;3 GrAdUaTE 09&lt;3
142,143,0, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
145,146,1, &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
147,148,0, &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel)
