,ItemID,Sentiment,SentimentText
84,85,0,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
122,123,0,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
28,29,1,"   goodbye exams, HELLO ALCOHOL TONIGHT "
24,25,0,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
75,76,0,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x"
109,110,0,  so whats the status on next weekend
81,82,0,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   
98,99,0,"  no hang out with the girls 2day. 2moro, hope so......"
80,81,0,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat"
100,101,0,  no pavel tonight &lt;Tigersfan &gt;
124,125,0,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
2,3,1,              omg its already 7:30 :O
34,35,0,   No Sat off...Need to work 6 days a week 
44,45,1,  ... health class (what a joke!)
128,129,1,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
13,14,0,     jb isnt showing in australia any more!
93,94,1,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy."
41,42,1,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7
63,64,1,  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!
137,138,1," &lt;--- That is all, and believe me.. it's enough!"
19,20,0,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
60,61,0,  hate u ...  leysh t9ar5 ... =((((((( ..
126,127,0,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
11,12,1,      thanks to all the haters up in my face all day! 112-102
47,48,0, - All Time Low shall be my motivation for the rest of the week.
18,19,0,    HUGE roll of thunder just now...SO scary!!!!
96,97,0,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
107,108,1,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.
141,142,0, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far 
53,54,0,  but i'm proud.
39,40,0,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(
99,100,0,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!
92,93,1,  just gonna smile...cuz it is what it is..and im not sure what more they could want..
4,5,0,         i think mi bf is cheating on me!!!       T_T
97,98,0,  My new car was stolen....by my mother who wanted to go pose at church.
48,49,0,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody"
10,11,0,      I must think about positive..
9,10,1,      hmmmm.... i wonder how she my number @-)
127,128,1,  wide awake   NOT!!!
86,87,0,  im sick  'cough cough'
88,89,0,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work
12,13,0,      this weekend has sucked so far
21,22,0,    wompppp wompp
66,67,0,  I miss Earl
113,114,1, - that explains alot.
119,120,0,  very much so 
135,136,0," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
25,26,0,   BoRinG   ): whats wrong with him??     Please tell me........   :-/
143,144,1, &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
87,88,0,  in cab headed to the airport!  going home.... &lt;christy&gt;
118,119,0,  u guys knw whyy
67,68,0,  I miss New Jersey
74,75,0,  i wanna make my own pizza
94,95,0, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
121,122,0,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
36,37,0,"   SOX!     Floyd was great, but relievers need a scolding!"
83,84,0,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
69,70,0,  I need a U2 fix NOW!
73,74,0,  I wanna be at home @ church...I wonder wht they are doing?
133,134,1, #poemsunder140 ....started by @shannonelyse1
8,9,1,      handed in my uniform today . i miss you already
49,50,0,  another year of Lakers .. That's neither magic nor fun ...
112,113,1,"  Thanks, I need all the help i can get."
17,18,1,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
15,16,0,    &lt;-------- This is the way i feel right now...
104,105,0,  probably guna get off soon since no one is talkin no more
91,92,0,  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
